"","Base salary","Net worth","Last elected","Next election","Associate","Bachelor's","Service / branch","Years of service","Religion","Profession"
"1380","$174,000","(2012) $497,504.50","November 6, 2018","June 23, 2020",NA,"Alfred University",NA,NA,"Christian: Catholic","Attorney, businessman"
"1381",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"1382",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"1383","$174,000",NA,"November 6, 2018","June 23, 2020",NA,"Niagara University",NA,NA,"Christian: Catholic","Assistant U.S. Attorney"
"1384",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"1385",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"1386",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"1387",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"1388",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"1389",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"1390",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"1391","$79,500/year",NA,"November 6, 2018","June 23, 2020",NA,NA,NA,NA,NA,NA
"1392",NA,NA,"November 7, 2017","June 23, 2020",NA,NA,NA,NA,NA,NA
"1393",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"1394",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"1395",NA,NA,NA,"June 23, 2020",NA,"State University of New York, Fredonia",NA,NA,"Christian","Accountant"
"1396","$174,000","(2012) $676,514","November 6, 2018","November 3, 2020",NA,"History, College of William and Mary, 1975",NA,NA,"Christian: Catholic",NA
"1397",NA,NA,NA,NA,NA,"U.S. Air Force Academy, 2003","U.S. Air Force",NA,"Catholic",NA
"1398",NA,NA,NA,"November 3, 2020",NA,"Indiana University, 1999-05",NA,NA,"Christian",NA
"1399",NA,NA,NA,"November 3, 2020",NA,"Middlebury College, 1990",NA,NA,"Jewish",NA
"1400","$174,000","(2012) $2,413,521","November 6, 2018","November 3, 2020",NA,"University of Cincinnati","U.S. Army Reserve Medical Corps","1998 - 2011","Christian: Catholic","Doctor"
"1401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1402",NA,NA,NA,"November 3, 2020",NA,"Miami University, 1999",NA,NA,"Unitarian Universalist",NA
"1403","$174,000","(2012) $2,641,516.50","November 6, 2018","November 3, 2020",NA,"Central State University",NA,NA,"Christian: Baptist",NA
"1404",NA,NA,NA,NA,NA,"Tufts University",NA,NA,NA,"Attorney"
"1405",NA,NA,NA,NA,NA,NA,NA,NA,"Christian","Business owner"
"1406",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Catholic",NA
"1407",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1408","$174,000","(2012) $248,004","November 6, 2018","November 3, 2020",NA,"University of Wisconsin",NA,NA,"Christian","Lawyer"
"1409",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1412",NA,NA,NA,"November 3, 2020",NA,"Bowling Green State University, 2002",NA,NA,NA,NA
"1413",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1414","$174,000","(2012) $2,265,020","November 6, 2018","November 3, 2020",NA,"Bowling Green State University, 1978",NA,NA,"Christian: Catholic",NA
"1415",NA,NA,NA,NA,"Owens Community College","Bowling Green State University",NA,NA,NA,NA
"1416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1417",NA,NA,NA,"November 3, 2020",NA,"Indiana University",NA,NA,NA,NA
"1418","$174,000","(2012) $459,522.50","November 6, 2018","November 3, 2020",NA,"Troy University","United States Air Force","1973 - 1999","Christian: Protestant","Air Force, Business Owner"
"1419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1420",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1421","$174,000","(2012) $1,573.525","November 6, 2018","November 3, 2020","Ohio State University Agriculture Technology Institute",NA,NA,NA,"Christian: Methodist","Technician, Farmer, Small Business Owner"
"1422",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1423",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,"IT"
"1424","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"West Point","US Army","1988 - 2000",NA,NA
"1425",NA,NA,NA,NA,NA,NA,"United States Navy","1998 - 2004","Roman Catholic","Printing"
"1426",NA,NA,NA,"November 3, 2020",NA,"Ohio State University, 1992",NA,NA,"Christian","Management and policy consultant"
"1427",NA,NA,NA,NA,NA,"School for International Training, 1988",NA,NA,"Roman Catholic",NA
"1428","$174,000","(2012) $360,508.50","November 6, 2018","November 3, 2020",NA,"University of Wisconsin, 1968",NA,NA,"Christian: Catholic",NA
"1429",NA,NA,NA,NA,NA,"The University of Akron, 2010",NA,NA,NA,NA
"1430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1431",NA,NA,NA,NA,NA,NA,NA,NA,"Christian","Small business owner"
"1432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1433",NA,NA,NA,"November 3, 2020",NA,"The United States Military Academy at West Point, 1995","U.S. Army","1995 - 2000",NA,"Attorney"
"1434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1436",NA,NA,NA,NA,NA,"Sinclair Community College",NA,NA,"Baptist","Nurse practitioner"
"1437",NA,NA,NA,NA,NA,"Ohio State University",NA,NA,NA,"Scientist"
"1438",NA,NA,NA,"November 3, 2020",NA,"Xavier University",NA,NA,NA,NA
"1439","$174,000","(2012) $1,031,506.50","November 6, 2018","November 3, 2020",NA,"Ohio State University, 1975",NA,NA,"Christian: Baptist",NA
"1440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1442",NA,NA,NA,NA,NA,"American Military University","U.S. Navy",NA,NA,NA
"1443",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1445",NA,NA,NA,NA,"Lorain Community College",NA,NA,NA,NA,NA
"1446","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,"Christian","Business owner"
"1447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1448",NA,NA,NA,NA,NA,"Ohio State University, 2003",NA,NA,NA,NA
"1449",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1452","$60,584/year",NA,NA,"November 3, 2020",NA,"Mallone University",NA,NA,NA,NA
"1453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1457",NA,NA,NA,NA,NA,NA,"U.S. Marine Corps","2002 - 2013",NA,NA
"1458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1459",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1460","$174,000","(2012) $4,265,057.50","November 6, 2018","November 3, 2020",NA,"University of Dayton",NA,NA,"Christian: Catholic","Attorney"
"1461",NA,NA,NA,NA,NA,NA,"U.S. Navy","1982 - 2005","Messianic Judaism",NA
"1462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1463","$174,000","(2012) $1,003,019","November 6, 2018","November 3, 2020",NA,"Ohio State University, 1989","Ohio Army National Guard",NA,NA,NA
"1464",NA,NA,NA,NA,NA,NA,NA,NA,"Independent Baptist","Small business owner"
"1465",NA,NA,NA,NA,NA,NA,NA,NA,"Christian",NA
"1466",NA,NA,NA,"November 3, 2020",NA,"Ohio University, 2012",NA,NA,NA,"Attorney"
"1467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1468",NA,NA,NA,"November 3, 2020",NA,"Miami University, 2008",NA,NA,NA,"Physicist"
"1469",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Licensed fire technician"
"1470","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,NA,NA
"1471",NA,NA,NA,"June 30, 2020",NA,"Old Dominion University, 2008",NA,NA,"Christianity",NA
"1472","$174,000","(2012) $5,941,015","November 6, 2018","June 30, 2020","Oklahoma State University Institute of Technology","Missouri Valley College",NA,NA,"Christian","Business owner"
"1473","$38,400/year",NA,"November 8, 2016","June 30, 2020",NA,NA,NA,NA,NA,"B&B owner"
"1474",NA,NA,NA,"November 3, 2020",NA,NA,"Navy","1994 - 1999",NA,"Healthcare professional"
"1475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1482","$174,000",NA,"November 6, 2018","June 30, 2020",NA,"University of Tulsa, 1998",NA,NA,NA,NA
"1483",NA,NA,NA,"June 30, 2020",NA,NA,NA,NA,NA,NA
"1484",NA,NA,NA,"June 30, 2020",NA,"University of Oklahoma, 1974",NA,NA,NA,"Dentist"
"1485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1486","$38,400/year",NA,"November 6, 2018","June 30, 2020",NA,NA,NA,NA,NA,NA
"1487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1490",NA,NA,NA,"June 30, 2020",NA,"Rhode Island School of Design and Brown University, 1979",NA,NA,"Born Again Christian",NA
"1491",NA,NA,NA,"June 30, 2020",NA,NA,NA,NA,NA,NA
"1492",NA,NA,NA,"June 30, 2020",NA,"Purdue University, 2019","United States Navy","2013 - 2020","Christian: Catholic","Hospital corpsman"
"1493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1494","$174,000","(2012) $6,057,015","November 6, 2018","May 19, 2020","Lane Community College","University of Oregon",NA,NA,NA,"Attorney"
"1495",NA,NA,NA,"May 19, 2020","Portland State University","University of Oregon, 2007",NA,NA,"Catholic",NA
"1496",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1497",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,"Atheist","Disabled activist"
"1498",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,"Roman Catholic","Small business owner/artist"
"1499",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1500",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,"Spiritual","Retail store owner & operator"
"1501",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1503",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,"Unitarian Universalist","Writer"
"1504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1505",NA,NA,NA,"May 19, 2020",NA,"Southern Oregon State College, 1992",NA,NA,"Christian: Presbyterian",NA
"1506",NA,NA,NA,"May 19, 2020",NA,"Eastern Oregon State College, 1974",NA,NA,NA,"Attorney"
"1507","$24,216/year",NA,NA,"May 19, 2020",NA,"Oregon State University",NA,NA,NA,"Orthopedic surgeon"
"1508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1509",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1510",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1511",NA,NA,NA,"May 19, 2020",NA,"Eastern Oregon University, 1995",NA,NA,"Christian",NA
"1512",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1513",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,"Christian",NA
"1514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1516",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1517","$174,000","(2012) $6,809,015","November 6, 2018","May 19, 2020",NA,"Lewis and Clark College, 1970",NA,NA,"Non-denominational Protestant","Attorney"
"1518",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1521",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1522",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1524",NA,NA,NA,"May 19, 2020",NA,NA,"U.S. Navy","1970 - 1976","Christian","SAP projects consultant"
"1525",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1526","$174,000","(2012) $1,128,508.50","November 6, 2018","May 19, 2020",NA,"Tufts University, 1969","United States Air Force Reserve","1967 - 1971","Christian: Catholic",NA
"1527",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1528",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1529",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1530","$174,000","(2012) $4,500,558.50","November 6, 2018","May 19, 2020",NA,"Cornell University & University of Illinois",NA,NA,"Christian: Episcopalian","Veterinarian, Farmer"
"1531",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1532",NA,NA,NA,"May 19, 2020",NA,NA,"U.S. Army",NA,NA,NA
"1533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1534",NA,NA,NA,"May 19, 2020",NA,"University of Utah",NA,NA,NA,NA
"1535",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"1536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537","$174,000",NA,"November 6, 2018","June 2, 2020",NA,"Penn State University",NA,NA,NA,NA
"1538",NA,NA,NA,"June 2, 2020",NA,"Penn State University",NA,NA,NA,"Financial planner/advisor"
"1539",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1540",NA,NA,NA,"June 2, 2020",NA,"American University",NA,NA,NA,NA
"1541",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1542","$174,000",NA,"November 6, 2018","June 2, 2020",NA,"University of Notre Dame, 1999",NA,NA,"Christian: Catholic",NA
"1543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1544","$174,000",NA,"November 6, 2018","June 2, 2020","Community College of Philadelphia, 1973","La Salle College, 1975",NA,NA,NA,"Teacher"
"1545",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1546","$174,000",NA,"November 6, 2018","June 2, 2020",NA,"La Salle University",NA,NA,NA,"Professor"
"1547",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1548",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1550",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1552",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,"Catholic",NA
"1553","$174,000",NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,NA,NA
"1554",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1556","$174,000",NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,NA,NA
"1557",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1558",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1559",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1560","$174,000","(2012) $1,105,518","November 6, 2018","June 2, 2020",NA,"Hamilton College",NA,NA,"Christian: Catholic","Attorney"
"1561",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1562",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1563",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1564",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1565",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1566",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1567","$174,000",NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,NA,NA
"1568",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1569",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1570","$174,000","(2012) $891,009","November 6, 2018","June 2, 2020",NA,"Pennsylvania State University, 1991","Pennsylvania Army National Guard",NA,NA,NA
"1571",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,"Attorney & author"
"1572","$158,764",NA,"November 8, 2016","June 2, 2020",NA,"College of Wooster, 1993",NA,NA,"Christian: Lutheran","Attorney"
"1573","$174,000",NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,"Christian: Lutheran",NA
"1574",NA,NA,NA,"June 2, 2020",NA,"Gordon College, 1997",NA,NA,"Christian",NA
"1575",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1576","$174,000/year",NA,"May 21, 2019","June 2, 2020",NA,NA,NA,NA,NA,"Manufacturing Plant Manager"
"1577",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1579",NA,NA,NA,"June 2, 2020",NA,"Washington College, 1986",NA,NA,"Christian","FBI Special Agent"
"1580","$174,000",NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,NA,NA
"1581",NA,NA,NA,"June 2, 2020",NA,NA,"United States Marine Corps","1998 - 2002",NA,"Teacher"
"1582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1585",NA,NA,NA,"June 2, 2020",NA,"Mercyhurst University",NA,NA,NA,"Teacher"
"1586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1589",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1590",NA,NA,NA,"June 2, 2020",NA,"Grove City College, 2016-05","U.S. Air Force",NA,"Christian",NA
"1591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1593",NA,NA,NA,"September 8, 2020",NA,NA,NA,NA,NA,NA
"1594","$174,000","(2012) $2,026,513.50","November 6, 2018","September 8, 2020",NA,"Rhode Island College",NA,NA,"Christian: Catholic",NA
"1595","$15,429/year",NA,NA,"September 8, 2020",NA,"Rhode Island College","U.S. Navy",NA,NA,NA
"1596","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,NA,NA
"1597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1598",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,"Christian","Businessman, entrepreneur"
"1599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1601",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,NA,NA
"1602","$10,400/year",NA,"November 6, 2018","June 9, 2020",NA,"Citadel",NA,NA,NA,"Businesswoman, author"
"1603",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,"Christian",NA
"1604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1608",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1611","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,NA,NA
"1612",NA,NA,NA,"November 3, 2020",NA,"Wofford College",NA,NA,NA,NA
"1613",NA,NA,NA,"May 22, 2020",NA,NA,NA,NA,NA,NA
"1614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1615",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,NA,NA
"1616",NA,NA,NA,"November 3, 2020",NA,"Michigan State University, 2006-12",NA,NA,"Jewish",NA
"1617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1618","$174,000","$468,511","November 6, 2018","November 3, 2020",NA,"South Carolina State College, Orangeburg",NA,NA,"African Methodist Episcopal",NA
"1619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1620",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1621",NA,NA,NA,"June 9, 2020",NA,"College of Charleston, 1999","U.S. Army","1995 - 2001","Christian","Teacher"
"1622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1623","$174,000",NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,NA,NA
"1624","6,000/session; $129/day for interim committees",NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"1625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1627",NA,NA,NA,"August 6, 2020",NA,"Lewis University","United States Air Force","2008 - 2014",NA,NA
"1628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1629",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"1630",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,"Christian",NA
"1631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1632","$22,667/year",NA,"November 6, 2018","August 6, 2020",NA,"East Tennessee State University, 1974",NA,NA,"Christian: Methodist","Administrator"
"1633",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"1634",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1635",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"1636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1640",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"1641",NA,NA,NA,"November 3, 2020",NA,NA,"U.S. Army","1972 - 1974","Christian",NA
"1642",NA,NA,NA,"August 6, 2020",NA,"East Tennessee State University, 2013",NA,NA,NA,NA
"1643",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,"Non-profit director"
"1644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1648",NA,NA,NA,NA,NA,NA,NA,NA,"Christian","Political activist"
"1649",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"1650",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"1651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1653",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"1654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1655",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"1656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1661",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1662",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"1663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1665",NA,NA,NA,"November 3, 2020",NA,"Austin Peay State University","U.S. Marine Corps","2003 - 2008",NA,NA
"1666","$174,000",NA,"November 6, 2018","August 6, 2020",NA,NA,NA,NA,NA,NA
"1667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1668","$174,000","$4,303,561.50","November 6, 2018","August 6, 2020",NA,"Vanderbilt University, 1971",NA,NA,"Jewish",NA
"1669",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,"Baptist","U.S. Navy Reserve"
"1670",NA,NA,NA,"August 6, 2020",NA,"Christian Brothers University",NA,NA,NA,NA
"1671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1672",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1673","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"Tufts University","United States Navy","2006 - 2016",NA,NA
"1674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1675",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1676",NA,NA,NA,"November 3, 2020",NA,"University of Houston, 2007",NA,NA,NA,"Supply chain manager"
"1677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1679","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,"U.S. Marines",NA,NA,NA
"1680",NA,NA,NA,"July 14, 2020",NA,"Northwestern University, 1996",NA,NA,NA,"Attorney"
"1681",NA,NA,NA,"July 14, 2020",NA,"Southern Methodist University, 2008",NA,NA,NA,"Attorney"
"1682",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1683","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,NA,"Attorney"
"1684",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,"IT professional"
"1685",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1686","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"University of Texas",NA,NA,NA,"Consultant"
"1687",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"1688",NA,NA,NA,"November 3, 2020",NA,"University of North Texas, 2007-08",NA,NA,"Spiritual","Salesman"
"1689","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"University of Texas, Arlington",NA,NA,NA,NA
"1690",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,"Attorney"
"1691",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Christian","Registered Nurse"
