"","X","id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","created_at","favourites_count","utc_offset","time_zone","geo_enabled","verified","statuses_count","student1","student2","correct1","correct2","suggestion1","suggestion2","X.1","forecastdate","state","district","special","candidate","party","incumbent","model","win.AF8.probability","voteshare","p10.AF8.voteshare","p90.AF8.voteshare","screename","screenname","realname","realname2","dup","dup2"
"469",207,"605615715","Ross Spano","RossSpano","Dover, FL","Florida native representing Florida House District 59 and running for Congress. Devoted husband, loving father, and small biz owner.","https://t.co/5TApJEw8kl",FALSE,4461,1090,123,"Mon Jun 11 16:04:50 +0000 2012",800,NA,NA,TRUE,TRUE,826,"twaedt","tbrecht",NA,NA,NA,NA,215,"2018+AC0-08+AC0-01","FL",15,NA,"Ross Spano","R",FALSE,"classic","0.7262","52.37","47.2","57.56",NA,"RossSpano",NA,"RossSpano",FALSE,FALSE
"470",835,"9.03763e+17","Rick Kennedy","RickKennedyTX17","Wells Branch, TX","#RickKennedyforCongress #TX17 https://t.co/LAV3nSInEQ https://t.co/QkjDyP8XW7""","https://t.co/LAV3nSInEQ",FALSE,4461,4509,53,"Fri Sep 01 23:32:59 +0000 2017",303,NA,NA,FALSE,TRUE,977,"tbrecht","anahum",NA,NA,NA,NA,894,"2018+AC0-08+AC0-01","TX",17,NA,"Rick Kennedy","D",FALSE,"classic","0.0059","37.29","31.88","42.71",NA,"RickKennedyTX17",NA,"RickKennedyTX17",FALSE,FALSE
"471",508,"488560862","Linda Coleman For Congress","LindaForNC","Raleigh, NC","Candidate for Congress. District 2. Fighting for better jobs, better wages, better healthcare, a better life. #Linda2018 #LindaForCongress #LindaListens","https://t.co/GVgt9gxMOe",FALSE,4388,1416,127,"Fri Feb 10 15:51:04 +0000 2012",471,NA,NA,TRUE,TRUE,1182,"miraschk","tbrecht",NA,TRUE,NA,NA,539,"2018+AC0-08+AC0-01","NC",2,NA,"Linda Coleman","D",FALSE,"classic","152","44.48","39.08","49.9",NA,"LindaForNC",NA,"LindaForNC",FALSE,FALSE
"472",40,"5019861","Anita Malik","AnitaMalik","Everywhere","Mom, Tech Executive, #Entrepreneur, #Dem Nominee for U.S. Congress. #AZ06","https://t.co/higovEW7jy",FALSE,3545,956,147,"Tue Apr 17 17:14:13 +0000 2007",1627,NA,NA,FALSE,TRUE,2677,"jhahm","tbrecht",NA,TRUE,NA,NA,41,"2018+AC0-08+AC0-01","AZ",6,NA,"Anita Malik","D",FALSE,"classic","0.1801","46.19","40.82","51.57",NA,"AnitaMalik",NA,"AnitaMalik",FALSE,FALSE
"473",37,"7.02601e+17","Andy Biggs","andybiggs4az","Arizona, USA","U.S. Representative for #AZ05. Native Arizonan, proud Husband, Father, Grandfather and Conservative Republican.","https://t.co/7fNHv9jmAR",FALSE,3308,521,140,"Wed Feb 24 21:09:55 +0000 2016",54,NA,NA,TRUE,TRUE,775,"tbrecht","tholmber",FALSE,NA,"RepAndyBiggsAZ",NA,38,"2018+AC0-08+AC0-01","AZ",5,NA,"Andy Biggs","R",TRUE,"classic","0.9978","63.76","58.32","69.21",NA,"andybiggs4az","RepAndyBiggsAZ","RepAndyBiggsAZ",FALSE,FALSE
"475",216,"9.01527e+17","David Holden","holden2018","Naples, FL","Husband and business partner of Streeter, lifelong community activist, @Kennedy_School alum, Naples resident, Democratic nominee for Congress in #FL19","https://t.co/gUecPnF5QR",FALSE,2977,338,33,"Sat Aug 26 19:31:00 +0000 2017",332,NA,NA,TRUE,TRUE,521,"mykang","tbrecht",NA,TRUE,NA,NA,224,"2018+AC0-08+AC0-01","FL",19,NA,"David Holden","D",FALSE,"classic","0.0074","39.08","33.65","44.43",NA,"holden2018",NA,"holden2018",FALSE,FALSE
"476",589,"2964222544","Rep. Cresent Hardy","RepHardy","Nevada, USA","Former Congressman for Nevada's 4th Congressional District",NA,FALSE,2966,416,201,"Tue Jan 06 14:08:31 +0000 2015",116,NA,NA,TRUE,TRUE,1144,"tbrecht","mykang",TRUE,NA,NA,NA,633,"2018+AC0-08+AC0-01","NV",4,NA,"Cresent Hardy","R",FALSE,"classic","0.1496","43.13","37.56","48.74",NA,"RepHardy",NA,"RepHardy",FALSE,FALSE
"477",4,"9.52296e+17","Robert Kennedy, Jr.","Kennedy4Alabama","Prichard, AL","Political Candidate - U.S. House of Representatives for Alabama's 1st Congressional District","https://t.co/bpIq7AANlV",FALSE,2903,1111,34,"Sat Jan 13 21:48:42 +0000 2018",627,NA,NA,TRUE,TRUE,580,"tbrecht","jhahm",TRUE,NA,NA,NA,5,"2018+AC0-08+AC0-01","AL",1,NA,"Robert Kennedy Jr.","D",FALSE,"classic","7,00E-04","35.1","30. Jun","40.29",NA,"Kennedy4Alabama",NA,"Kennedy4Alabama",FALSE,FALSE
"478",693,"8.8085e+17","Kendra Horn","HornForCongress","Oklahoma City, OK","Kendra Horn is a 5th generation Oklahoman running for Congress in the 5th district of Oklahoma. #OK05 #FlipThe5th  https://t.co/q0e5n8wMZ2","https://t.co/q0e5n8wMZ2",FALSE,2776,2097,42,"Fri Jun 30 18:06:42 +0000 2017",1889,NA,NA,FALSE,TRUE,797,"chrifisc","tbrecht",NA,TRUE,NA,NA,744,"2018+AC0-08+AC0-01","OK",5,NA,"Kendra Horn","D",FALSE,"classic","0.2539","47.4","42.24","52.53",NA,"HornForCongress",NA,"HornForCongress",FALSE,FALSE
"501",953,"2882981512","Margaret Engebretson","vetfordemocracy","Wisconsin, USA","Unaffiliated voter abruptly turned active Democrat to help promote & defend: Democracy. Ethics. Rule of Law. Unite! #WI07 CD candidate.","https://t.co/83RNzuTDzN",FALSE,1671,638,40,"Tue Nov 18 18:34:39 +0000 2014",1566,NA,NA,FALSE,TRUE,1127,"tbrecht","aevershe",TRUE,NA,NA,NA,1018,"2018+AC0-08+AC0-01","WI",7,NA,"Margaret Engebretson","D",FALSE,"classic","0.0105","38.09","32.41","43.72",NA,"vetfordemocracy",NA,"vetfordemocracy",FALSE,FALSE
